baseline,lang,lt,rar,le,seed,em_f1,precision,recall,tp,fp,fn,n_docs
encoder_crf,en,2,0.0,2,42,0.1349,0.1335,0.1362,94,610,596,200
encoder_crf,en,2,0.0,0,42,0.1799,0.1959,0.1663,134,550,672,200
encoder_crf,en,2,0.2,2,42,0.1469,0.1460,0.1477,105,614,606,200
encoder_crf,en,2,0.2,0,42,0.1832,0.1939,0.1737,140,582,666,200
encoder_crf,en,2,0.4,2,42,0.3228,0.2853,0.3716,275,689,465,200
encoder_crf,en,2,0.4,0,42,0.3854,0.3473,0.4330,349,656,457,200
encoder_crf,en,2,0.6,2,42,0.0390,0.0432,0.0356,27,598,732,200
encoder_crf,en,2,0.6,0,42,0.0558,0.0638,0.0496,40,587,766,200
encoder_crf,en,2,0.8,2,42,0.3771,0.3317,0.4370,340,685,438,200
encoder_crf,en,2,0.8,0,42,0.4247,0.3769,0.4864,392,648,414,200
encoder_crf,en,2,1.0,2,42,0.4089,0.3567,0.4789,386,696,420,200
encoder_crf,en,2,1.0,0,42,0.4482,0.3877,0.5310,428,676,378,200
encoder_crf,en,3,0.0,3,42,0.1841,0.1717,0.1986,137,661,553,200
encoder_crf,en,3,0.0,0,42,0.2664,0.2637,0.2692,217,606,589,200
encoder_crf,en,3,0.2,3,42,0.1603,0.1576,0.1632,116,620,595,200
encoder_crf,en,3,0.2,0,42,0.1790,0.1875,0.1712,138,598,668,200
encoder_crf,en,3,0.4,3,42,0.2447,0.2209,0.2743,203,716,537,200
encoder_crf,en,3,0.4,0,42,0.3260,0.3005,0.3561,287,668,519,200
encoder_crf,en,3,0.6,3,42,0.2827,0.2531,0.3202,243,717,516,200
encoder_crf,en,3,0.6,0,42,0.3594,0.3234,0.4045,326,682,480,200
encoder_crf,en,3,0.8,3,42,0.3262,0.2834,0.3843,299,756,479,200
encoder_crf,en,3,0.8,0,42,0.3858,0.3361,0.4529,365,721,441,200
encoder_crf,en,3,1.0,3,42,0.3736,0.3314,0.4280,345,696,461,200
encoder_crf,en,3,1.0,0,42,0.4278,0.3718,0.5037,406,686,400,200
encoder_crf,en,4,0.0,4,42,0.0444,0.0472,0.0420,29,586,661,200
encoder_crf,en,4,0.0,0,42,0.0401,0.0474,0.0347,28,563,778,200
encoder_crf,en,4,0.2,4,42,0.0868,0.0893,0.0844,60,612,651,200
encoder_crf,en,4,0.2,0,42,0.1072,0.1220,0.0955,77,554,729,200
encoder_crf,en,4,0.4,4,42,0.1689,0.1615,0.1770,131,680,609,200
encoder_crf,en,4,0.4,0,42,0.2717,0.2624,0.2816,227,638,579,200
encoder_crf,en,4,0.6,4,42,0.2152,0.1963,0.2382,181,741,579,200
encoder_crf,en,4,0.6,0,42,0.2871,0.2595,0.3213,259,739,547,200
encoder_crf,en,4,0.8,4,42,0.2572,0.2335,0.2863,223,732,556,200
encoder_crf,en,4,0.8,0,42,0.2881,0.2586,0.3251,262,751,544,200
encoder_crf,en,4,1.0,4,42,0.2890,0.2594,0.3263,263,751,543,200
encoder_crf,en,4,1.0,0,42,0.3283,0.2885,0.3809,307,757,499,200
